Relevance,Offer Type,Channel,Video Title,Views,Target Audience,Target Niche,Setup Fee (Low),Setup Fee (High),Monthly (Low),Monthly (High),Pricing Model,Revenue Claim,Delivery Method,Tools,Client Acquisition,Time to Deliver,Team Needed,Key Insight,Best Quote,Link
8,micro_saas,TK Kader,3 AI Micro SaaS Ideas You Can Launch In 2025 as a Solo Founder,13790,B2B,"tech entrepreneurs, solo founders",,,,,subscription,,online platform,AI tools,"organic marketing, online communities",varies per project,solo,AI advancements open new opportunities for solo founders to create impactful SaaS products.,"With AI going full steam ahead, there are so many incredible opportunities as a Solo Founder.",https://www.youtube.com/watch?v=l3nB7zC5CSI
8,saas_product,Starter Story,How This $250K/Month SaaS Got Its First 100 Users (Steal This Playbook),75279,B2B,SaaS industry,,,,,subscription,"$250K/month, $3M/year",Online platform,,Detailed tactics for acquiring first 100 customers,,small team,Focus on acquiring initial users through targeted strategies and scaling from there.,,https://www.youtube.com/watch?v=l4WEqPX52Cg
8,general_ai_agency,Connor Cahill,The best Cold Call you've ever seen (178k/month ai agency),125862,B2B,various industries,,,,,setup_plus_retainer,178k/month,consultations and strategy sessions,AI tools,cold calling and strategic outreach,,small team,Effective cold calling can significantly boost client acquisition for AI agencies.,The best cold call you've ever seen.,https://www.youtube.com/watch?v=l7eJfXmaCjc
8,workflow_automation,Nate Herk | AI Automation,I Built a Marketing Team with 1 AI Agent and No Code (free n8n template),871293,B2B,marketing agencies,,,,,null,,online course and templates,n8n,through online courses and resources,,solo,Utilizing no-code tools like n8n can significantly streamline marketing operations with minimal resources.,"I built a marketing team with just one AI agent and no code, using a free n8n template.",https://www.youtube.com/watch?v=ldETapkr8Hg
8,general_ai_agency,Christian Peverelli - WeAreNoCode,"EASIEST Way to Make $10,000/Month Building AI Agents",20530,Both,various industries,,,,,setup_plus_retainer,"Make $10,000/month",Online resources and tools,Lindy AI,Through online marketing and leveraging AI tools,,small team,Utilizing AI tools can significantly streamline the process of building and deploying AI agents.,"The easiest way to make $10,000 a month is by building AI agents.",https://www.youtube.com/watch?v=mDoCH5uaBOo
8,general_ai_agency,Carson Reed,The Simplest Way To Start An AI Agency in 2026 (Full Course),5574,Both,general,,,,,null,,online course,,gameplan calls,,solo,Starting an AI agency can be simplified with the right guidance and resources.,,https://www.youtube.com/watch?v=mDtcRMSbgl4
8,workflow_automation,Tom Gaddis | Smart AI Operators,The 2026 AI Agency Model: Sell 1 AI Workflow to Any Business (Start This Week),2604,B2B,general businesses,,,,,setup_plus_retainer,,online training and resources,AI Smart Launch Lab,through online courses and training,72 hours,solo,Focus on selling a single AI workflow to streamline business operations.,Launch your AI business in 72 hours.,https://www.youtube.com/watch?v=mHvX4-TVx-A
8,workflow_automation,Nate Herk | AI Automation,Turn Claude Code Into Your Executive Assistant in 27 Mins,166357,B2B,"business executives, entrepreneurs",,,,,project_based,,online course,Claude AI,YouTube channel and online courses,27 minutes,solo,Using Claude AI code can significantly reduce the time needed to automate executive tasks.,Turn Claude Code Into Your Executive Assistant in 27 Mins,https://www.youtube.com/watch?v=mi4hcipESKQ
8,consumer_product,The AI Hustle,How I Created an AI Influencer Like Aitana Lopez & Made $30K/Month🤫: FULL tutorial,150873,B2C,social media influencers,,,,,outcome_based,$30K/month,online tutorial,AI tools for influencer creation,social media marketing,,solo,Leveraging AI to create and monetize digital personas as influencers.,How I Created an AI Influencer Like Aitana Lopez & Made $30K/Month.,https://www.youtube.com/watch?v=mleTrrUBc60
8,general_ai_agency,MakerThrive,5 AI Automations You Can Sell to Local Businesses,24359,B2B,local businesses,,,,,project_based,,consultation and implementation,AI automation tools,networking and local marketing,varies per project,small team,Local businesses are increasingly looking for AI solutions to improve efficiency and customer service.,AI automation can significantly streamline operations for local businesses.,https://www.youtube.com/watch?v=moEFisacT0k
8,content_creation,Stefan | AI Guides,"How I Built an AI Marketing Agency That Generates 30 Days of TikToks, Reels & Posts in 5 Minutes",978,Both,"marketing agencies, social media managers, content creators, digital marketers, small business owners, influencers",,,,,subscription,Generates 30 days of content in 5 minutes,Automated content generation platform,"TikTok, Reels",Likely through online marketing and social media presence,5 minutes,small team,Automating content creation can drastically reduce time and effort for social media managers.,,https://www.youtube.com/watch?v=mptjEurfxpY
8,consulting,Mert Yerlikaya,How I Built a $300k Per Year (profit) AI Consulting Business,6675,B2B,various industries,,,,,setup_plus_retainer,$300k per year profit,consulting services,Monk AI,through online presence and referrals,,small team,Leverage AI tools to provide high-value consulting services.,Building a consulting business around AI can be highly profitable if you focus on delivering value to your clients.,https://www.youtube.com/watch?v=mqgKqDwkn3o
8,general_ai_agency,Oliver Rasmussen,"How I Make $52,251/Month selling AI agents",885,Both,various industries,,,,,setup_plus_retainer,"$52,251/month",online consultations and implementations,AI agents,through online marketing and community engagement,varies per project,small team,Building a community around AI automation can significantly boost client acquisition and retention.,Join the Free AI Automation Community (A–Z) – Learn how to start making money with AI.,https://www.youtube.com/watch?v=n-2f5S1YNJE
8,general_ai_agency,Build Great Products,Claude Managed Agents is AMAZING. Here's How to Build Any Agent in 16 Minutes,55419,Both,"tech enthusiasts, developers",,,,,,,online tutorial,Claude Managed Agents,community engagement,16 minutes,solo,AI agents can be built rapidly with the right tools.,Here's how to build any agent in 16 minutes.,https://www.youtube.com/watch?v=n1je-98lvsQ
8,general_ai_agency,Christian Peverelli - WeAreNoCode,I Built a Profitable AI Business in 72 Hours (No-Coding),273853,Both,"entrepreneurs, startups, small businesses",,,,,null,profitable in 72 hours,online coaching and resources,no-code tools,through online courses and coaching,72 hours,solo,Utilizing no-code tools can rapidly accelerate the development of AI solutions.,I built a profitable AI business in just 72 hours without writing a single line of code.,https://www.youtube.com/watch?v=n5Th-dOI3rI
8,voice_agent,Lucid Marketing,I Sell this AI Ordering Bot to Restaurants for $500/mo,10611,B2B,restaurants,,,500,500,monthly_only,,AI bot delivered to restaurants,,selling directly to restaurants,,solo,Offering a 30-day free trial can help in acquiring clients.,,https://www.youtube.com/watch?v=n9dsl_nlELs
8,general_ai_agency,Zach Sells AI,"How I Run A $150,000/Year Business With OpenClaw + AI Agents (Full Workflow)",3208,B2B,"technology, AI",,,,,subscription,"$150,000/year",online platform,OpenClaw,through Skool community and online presence,,solo,Leveraging AI agents can significantly scale a business with minimal team involvement.,"I scaled my AI business to $150,000/year using OpenClaw and AI agents.",https://www.youtube.com/watch?v=nDyUAy_kJPA
8,general_ai_agency,Mert Yerlikaya,The De-Risk Method That Scaled Our AI Agency to $50K/Month,3866,B2B,various industries,,,,,setup_plus_retainer,Scaled to $50K/month,Consulting and implementation,,Focus on reducing risks and improving client engagement to avoid being ghosted after proposals.,,small team,Implementing a de-risk method to improve client engagement and reduce proposal rejections.,,https://www.youtube.com/watch?v=nFSmStktQlE
8,general_ai_agency,Serge Gatari,How To Run A $1M/Month One Person Agentic Agency,1679,Both,various industries,,,,,setup_plus_retainer,$1M/month,online services,trycook.ai,workshops and online marketing,,solo,Focus on leveraging AI tools to automate and scale services efficiently.,Join the upcoming workshop for full breakdown.,https://www.youtube.com/watch?v=nPf6TpU1hzE
8,consulting,Nick Tan,How I Sell AI Consulting To Local Businesses (The Easiest $9k/Month in 2025),8033,B2B,local businesses,,,9000,9000,monthly_only,$9k/month,consulting sessions,,through Skool group and online marketing,,solo,Focus on local businesses as they are often underserved in AI consulting.,"If You're Making Under $5k/ Month, Join My Skool Group To Get You Started.",https://www.youtube.com/watch?v=nXIqxQdWthc
8,micro_saas,Greg Isenberg,Making $$$ with MicroSaaS (I might delete this),351934,Both,various industries,,,,,subscription,,online platform,no specific tools mentioned,leveraging niche communities and online platforms,varies depending on complexity,solo,Focus on solving specific problems for niche markets to succeed with microSaaS.,MicroSaaS is about finding a niche problem and solving it with a simple software solution.,https://www.youtube.com/watch?v=ndqX4vbR7Rc
8,voice_agent,ItsKeaton,He Sold 100 AI Receptionists to Local Businesses in ONE Month (£399/mo clients),118523,B2B,local businesses,,,399,399,monthly_only,He sold 100 AI Receptionists in one month at £399/mo each.,Delivered through a SaaS platform like GoHighLevel.,GoHighLevel,Through community and online marketing strategies.,,small team,Leveraging AI to automate receptionist tasks can be highly lucrative for local businesses.,He sold 100 AI Receptionists to local businesses in one month.,https://www.youtube.com/watch?v=nfsEyIYU3aU
8,general_ai_agency,Pavlo,Beginners Guide to AI Agency for 2026 (7hr Course),39933,Both,industries,,,,,null,,online course,,strategies likely covered in course,,small team,Comprehensive education on AI agency operations.,,https://www.youtube.com/watch?v=nmqhLQIpXRw
8,voice_agent,Zubair Trabzada | AI Workshop,How to Build a n8n Voice AI Agent That COLD CALLS Leads for You,45222,B2B,sales and marketing,,,,,null,,online tutorial,n8n,through educational content and community engagement,,solo,Using n8n to automate cold calling can save time and increase efficiency in lead generation.,,https://www.youtube.com/watch?v=o5H5OlHr_yM
8,saas_product,TK Kader,3 Profitable AI SaaS Ideas To Build in 2026 (Before Someone Else Does)...,7074,B2B,"technology startups, entrepreneurs",,,,,subscription,,online platform,AI development tools,targeting tech-savvy entrepreneurs and startups through online marketing and networking,,small team,Identifying untapped AI opportunities early can lead to significant market advantages.,"It has become easier, cheaper and faster than ever to build SaaS products.",https://www.youtube.com/watch?v=o6z0ciKSXQM
8,workflow_automation,Hammad Automates,How to Automate Your Med Spa with AI Tools | Complete Step-by-Step Workflow Demo 2025,335,B2B,Med Spa industry,,,,,null,,Video tutorial,AI tools,YouTube channel,,solo,AI tools can significantly streamline operations in niche industries like Med Spas.,,https://www.youtube.com/watch?v=oA0kkTvow3o
8,general_ai_agency,Rok Popov Ledinski,Everything to Know When Using AI Agents for Law Firms and Legal Teams (in 7 Minutes),2600,B2B,"law firms, legal teams",,,,,null,,consultations and workshops,Claude,through workshops and free consultations,,small team,AI agents can significantly enhance efficiency and accuracy in legal processes.,Check out our Claude Workshop for tailored AI solutions for legal teams.,https://www.youtube.com/watch?v=oASucTbY_Fc
8,email_automation,Nick Saraev,I Deep-Personalized 1000+ Cold Emails Using THIS AI System (FREE TEMPLATE),107118,B2B,sales and marketing professionals,,,,,null,,online templates and guidance,AI system,through YouTube channel and Maker School,,solo,Deep personalization in emails can significantly improve engagement rates.,Join Maker School & get automation customer #1 + all my templates.,https://www.youtube.com/watch?v=oAWe5wFwHlo
8,general_ai_agency,AI Money Press,ChatGPT + GoHighLevel: The $10K/Month AI Business Nobody's Talking About,61,B2B,small businesses,,,,10000,setup_plus_retainer,$10K/month,online platform,"ChatGPT, GoHighLevel",leveraging AI tools to offer services to small businesses,,solo,Combining AI tools like ChatGPT with CRM platforms can create a scalable business model.,,https://www.youtube.com/watch?v=oFJnvUwxBCg
8,general_ai_agency,Jasper Aiken,"How I Build ""Smart Websites"" For Local Businesses (Full Tutorial)",7670,B2B,local businesses,,,,,subscription,,online tutorial,GoHighLevel,through online tutorials and promotions,,solo,Using platforms like GoHighLevel can significantly enhance website functionality for local businesses.,,https://www.youtube.com/watch?v=oKa9hz7-a5E
8,lead_gen,Instantly,Alex Hormozi's Lead Generation Strategy for 2026,354654,B2B,general business,,,,,null,,online course or video content,Instantly,educational content and strategies,,solo,Focus on targeting ideal clients and streamlining the contact process.,"Find, Contact & Close Your Ideal Clients with Instantly.",https://www.youtube.com/watch?v=oZ18-kMrmKw
8,content_creation,Patrick Dang,How I Built a Full AI Content Creation Team with Claude Skills To Sign Clients,95487,Both,"content creators, entrepreneurs, small businesses",,,,,null,,online training,Claude,through personal branding and AI skills,,solo,Using AI tools like Claude can help streamline content creation processes and attract clients.,Join my FREE LIVE training where I reveal how you can build your profitable 1-Person Business + Personal Brand with AI.,https://www.youtube.com/watch?v=o_Vkl9oXxxY
8,voice_agent,Marlie Ai,How to Build an AI Receptionist That Answers Every Call (Live Demo),89,B2B,businesses needing call handling,,,,,null,,tutorial video,AI tools for voice agents,YouTube channel audience,,solo,Building an AI receptionist can save costs and improve call handling efficiency.,Tired of missing customer calls or paying hundreds for an answering service that doesn't work?,https://www.youtube.com/watch?v=odJxKBmsAeI
8,general_ai_agency,William Chao,I copied Alex Hormozi and scaled my AI Agency to 50k per month,804,B2B,,,,,,subscription,$50K per month,,,,,small team,Using Alex Hormozi's framework to scale an AI agency effectively.,,https://www.youtube.com/watch?v=ogWP7boyeGk
8,voice_agent,Hamza Automates,I Created a Talking Website AI for a Dentist That Makes $2000,9457,B2B,dental industry,,,,,setup_plus_retainer,Makes $2000,integrated into website,GoHighLevel,through online marketing and free trials,,1-2,Integrating a voice agent on a website can significantly enhance customer engagement.,,https://www.youtube.com/watch?v=ohMe1L9gChs
8,content_creation,Greg Isenberg,"He makes $750 a day 'Vibe Coding' Apps (using Replit, ChatGPT, Upwork)",258368,B2B,"tech startups, small businesses",,,,,project_based,$750 a day,custom web applications delivered via online platforms,"Replit, ChatGPT, Upwork",uses platforms like Upwork to find clients,varies per project,solo,Utilizing AI tools like Replit and ChatGPT can streamline the app development process and increase profitability.,'Vibe Coding is about using the right tools to create efficient and profitable web applications.',https://www.youtube.com/watch?v=opi1s_5Dm-c
8,general_ai_agency,Ben AI,The LinkedIn Strategy That Made Me $127k in AI Agency Revenue,9867,B2B,AI businesses,,,,,null,Generated $127k in AI agency revenue using LinkedIn strategy.,Online course and templates,LinkedIn,Using LinkedIn strategies to attract clients,,solo,Leveraging LinkedIn effectively can significantly boost AI agency revenue.,Join my AI Accelerator to build an AI business + get all my templates.,https://www.youtube.com/watch?v=oq_e9arcdrY
8,general_ai_agency,Nick Saraev,The 7-Figure AI Agency Pricing Strategy That ACTUALLY Works,13969,B2B,,,,,,setup_plus_retainer,seven-figure revenues,,,,,small team,Focus on a pricing strategy that supports scaling to seven figures.,,https://www.youtube.com/watch?v=owdN96DwdT4
8,chatbot,Jason West,Every Dental Practice Needs an AI Chatbot in 2026! 🦷,971830,B2B,dental practices,,,,,subscription,,integrated into dental practice systems,AI chatbot,targeted marketing to dental practices,,small team,AI chatbots can significantly enhance patient engagement and operational efficiency in dental practices.,Every dental practice can benefit from integrating an AI chatbot to stay competitive in 2026.,https://www.youtube.com/watch?v=owwxosPic90
8,data_automation,Blazing Zebra,Build AI Systems to Automate ANY Data Entry (Full Guide),14539,B2B,industries requiring data entry automation,,,,,null,,video guide,Claude 3.5,,,solo,Using Claude 3.5 can significantly streamline data entry processes.,,https://www.youtube.com/watch?v=oyGiazDPiQY
8,general_ai_agency,Michele Torti,How to Get Your First AI Agency Client With Zero Case Studies (COMPLETE GUIDE),3609,B2B,AI agencies,,,,,null,,online course or guide,MIRO,Strategies for acquiring first clients without case studies,,solo,Focus on leveraging personal networks and offering free trials to secure initial clients.,Get my 1-1 support to Start and Scale your AI Agency.,https://www.youtube.com/watch?v=pKsWnG7Ecjc
8,seo,Kyle Balmer | AI with Kyle,Replace your SEO agency with AI (Full Guide),685,B2B,"digital marketing, SEO",,,,,subscription,,online guide and playbook,AI SEO tools,through online content and challenges,,solo,"AI can automate and optimize SEO tasks, potentially replacing traditional agencies.",,https://www.youtube.com/watch?v=pMAyKDoshUs
8,general_ai_agency,Iman Gadzhi,Best Online Business to Make $10k+/month In 2026 (Beginner Friendly),273240,B2B,marketing,,,,,setup_plus_retainer,$10k+/month,1-on-1 coaching,,through UpLevel program,,small team,Focus on AI-driven marketing strategies to scale businesses effectively.,,https://www.youtube.com/watch?v=pPpb4t2eV2M
8,workflow_automation,AI Chris Lee,I Walked Into Restaurants and Sold AI Automation. First Client in 3 Days.,2733,B2B,restaurants,29,,,,setup_plus_retainer,first client in 3 days,in-person sales,AI automation tools,in-person sales pitches to local restaurants,,solo,Direct in-person sales can quickly secure clients for AI automation services.,Can I convince Vancouver chicken restaurants to pay $29 for AI?,https://www.youtube.com/watch?v=pSdrUyO56gw
8,content_creation,Luke Alexander AI,The $50k/month AI Content Agency (Full Blueprint),6571,B2B,"content creation, marketing agencies, businesses needing content",,,,,subscription,$50k per month,"online courses, consulting",AI tools,"through networking, online marketing, and referrals",,small team,Focus on leveraging AI tools to scale content production efficiently.,Join my private AI mastermind & learn directly from me.,https://www.youtube.com/watch?v=pka5LbCg7KM
8,micro_saas,Starter Story Build,Can you still make $10K/month from a micro-saas in 2025?,135896,Both,"entrepreneurs, small business owners, tech enthusiasts",,,,,subscription,$10K/month,online platform,SaaS development tools,"organic growth, online marketing",,solo,Focus on niche markets to increase chances of success.,Building a micro-saas can still be a viable path to $10K/month if you target the right niche.,https://www.youtube.com/watch?v=pmf47YdyKYY
8,recruiting_automation,Automindz Solutions,AI Automation for Recruitment Agency That Saves 15 HOURS/WEEK (n8n workflow),8640,B2B,recruitment agencies,,,,,setup_plus_retainer,saves 15 hours per week,custom workflow setup using n8n,n8n,strategy calls via Calendly,,small team,Automating repetitive tasks can significantly increase efficiency in recruitment processes.,,https://www.youtube.com/watch?v=ppbXEab8334
8,general_ai_agency,Jasper Aiken,I Built An AI Agent That Sells Websites To Local Businesses,23012,B2B,local businesses,,,,,subscription,,online platform,GoHighLevel,through automated outreach and AI-driven sales processes,,solo,Utilizing AI agents can significantly enhance the efficiency of selling digital services to local businesses.,,https://www.youtube.com/watch?v=pusMaUAmIxI
8,voice_agent,Bernard | AI Automation,Ai receptionist for dental clinic 🦷 #ai,675,B2B,dental clinics,,,,,subscription,,AI software integrated with clinic's phone system,AI receptionist software,targeted marketing to dental clinics,quick setup,small team,"AI can efficiently manage routine tasks like appointment scheduling, freeing up human staff for more complex interactions.",'Let AI handle the routine calls so your staff can focus on patient care.',https://www.youtube.com/watch?v=q3tr50XcYQo
8,recruiting_automation,Recruiter Preston,4 Ways to use ChatGPT for Recruiting in 2025,4844,B2B,recruitment industry,,,,,,6-7 Figure Recruitment Agency,via ChatGPT integration,ChatGPT,,,solo,Using AI tools like ChatGPT can significantly streamline recruitment processes and enhance agency profitability.,Start your 6-7 Figure Recruitment Agency.,https://www.youtube.com/watch?v=q99TIdC3y2k
8,workflow_automation|lead_gen|appointment_booking,Eli Rivera | The Ai Guy 👾,How AI Automation Can Revolutionize Med Spa Businesses in 2025 | Boost Bookings & Leads Effortlessly,437,B2B,Med Spa industry,,,,,subscription,,AI tools and software,LeadStream AI,YouTube channel and online marketing,,small team,AI can significantly enhance efficiency and client acquisition in Med Spa businesses.,Transform your Med Spa business with cutting-edge AI automation in 2025!,https://www.youtube.com/watch?v=qMCZI0ev8iE
8,general_ai_agency,William Chao,3 AI Agency Tools That Added $30K/Month (Software Stack 2026),64,B2B,AI automation agencies,,,,,null,Added $30K/Month,Software tools,Not specified in metadata,Not specified in metadata,,small team,Using the right software stack can significantly increase revenue without expanding the team size.,,https://www.youtube.com/watch?v=qip3hHmext0
8,general_ai_agency,Liam Ottley,Claude Managed Agents Will Make Millionaires (do this now),35915,Both,AI entrepreneurs,,,,,subscription,potentially making entrepreneurs millionaires,online platform,"Claude Managed Agents, Hostinger",through community and online platforms,,solo,Utilizing AI agents to run businesses 24/7 can significantly increase revenue potential.,Claude Managed Agents will make millionaires.,https://www.youtube.com/watch?v=qpa5XwGkLp8
8,general_ai_agency,Tristan Daniel,The reality of running a $100K/Month AI agency (Day In Life),285,B2B,various industries,,,,,setup_plus_retainer,$100K per month,consulting and service delivery,AI tools,through direct applications and possibly online courses,,small team,Running a successful AI agency involves understanding client needs and delivering tailored AI solutions.,,https://www.youtube.com/watch?v=qtHtm3hV5BM
8,workflow_automation,Charlie Barber,Live $2500 AI Automation I Built For a Client (Step by Step),36947,B2B,businesses looking for automation solutions,2500,,,,setup_plus_retainer,,custom-built automation systems,AI templates,through online training and resources like systemkit.io,,solo,"Providing detailed, step-by-step guidance can help in building effective AI automation solutions for clients.",,https://www.youtube.com/watch?v=qw0YO85Cb3A
8,voice_agent,Be A Boss Studio,Building a $199/mo AI Voice Receptionist SaaS for HVAC & Plumbing Companies,11,B2B,home service businesses,,,199,199,subscription,,SaaS platform,,,,solo,,,https://www.youtube.com/watch?v=qwUNELwglsE
8,general_ai_agency,Nick Saraev,Build Your First AI Business in 6 Hours (Ultimate Beginner Guide),177778,Both,general,,,,,null,,online course,Claude AI,Join Maker School for guaranteed first customer,6 hours,solo,Starting an AI business can be fast-tracked with the right guidance and tools.,Join Maker School & get customer #1 guaranteed.,https://www.youtube.com/watch?v=r0c7RhMFcww
8,voice_agent,Yadu Nath,AI Voice Agents For Dental Clinics Full Guide  || AI Receptionist For Dental Clinics,167,B2B,dental clinics,,,,,subscription,,via software integration,Vertivox AI,discovery calls and WhatsApp contact,,1-2,"AI voice agents can efficiently manage receptionist duties in dental clinics, improving customer service.",,https://www.youtube.com/watch?v=r5O52wwF9Sc
8,general_ai_agency,Chris Koerner on The Koerner Office Podcast,Watch Me Build an AI Agency in 24 Minutes,157949,Both,industries,,,,,null,,online demonstration,HighLevel,through online platforms and personal networks,24 minutes,solo,Using HighLevel can streamline the process of setting up an AI agency quickly.,Get 30 days free on HighLevel only with my link.,https://www.youtube.com/watch?v=r5yL8PW8Kyc
8,general_ai_agency,Ashton Wilson,How We Scaled Our AI Agency to $50K/Month in 60 Days,695,B2B,various industries,,,,,setup_plus_retainer,$50K/month in 60 days,consulting and implementation,AI tools,strategies shared in the video,,small team,Focus on straightforward strategies and leveraging the right tools for rapid scaling.,Watch our journey from $0 to $50K a month in revenue.,https://www.youtube.com/watch?v=rDexeMKyUvA
8,general_ai_agency,Daniel Fazio Highlights,Daniel Fazio: AI Assisted Agency Explained (What It Is and How It Works),37,B2B,marketing agencies,,,,,setup_plus_retainer,,online course or consultancy,,,,small team,Leveraging AI tools can streamline marketing processes and improve efficiency.,,https://www.youtube.com/watch?v=rIq0lyl5SnA
8,outbound_calling,GHL Wizard,Watch Me Book 5–7 Meetings a Day (AI Demo Cold Calling),3435,B2B,sales and marketing professionals,,,,,subscription,,online platform,GHL Wizard,through online marketing and free trial offers,,solo,Utilizing AI can significantly increase the number of meetings booked through cold calling.,Watch me book 5-7 meetings a day using AI.,https://www.youtube.com/watch?v=rMiN2321J6s
8,general_ai_agency,Carson Reed,I Started An Ai Agency From $0 To Prove It’s Not Luck,182159,Both,general,,,,,null,income claims,online content and consultations,AI tools,through online marketing and consultations,,solo,"Starting an AI agency doesn't require prior experience, just the right strategies and tools.",I started an AI agency from $0 to prove it’s not luck.,https://www.youtube.com/watch?v=rU1vjOzM158
8,voice_agent,Joey Seeman,I Tested 5 Cold Calling Personalities to Sell an AI Receptionist | One Worked!,1739,B2B,businesses needing receptionist services,,,,,subscription,,delivered via AI technology platform,Nova Echo AI,cold calling,,small team,Testing different cold calling personalities can significantly impact sales success.,One cold calling personality worked best for selling the AI receptionist.,https://www.youtube.com/watch?v=rj-LgAadrWo
8,general_ai_agency,Connor Cahill,Beginners Guide to Starting an Ai Agency In 2026 (Full Tutorial),667,B2B,various industries,,,,,null,,online course or tutorial,,through free calls and consultations,,solo,Focus on understanding client needs and tailoring AI solutions to meet those needs.,How to sell AI to businesses effectively in 2026.,https://www.youtube.com/watch?v=rr0N0AH20OM
8,general_ai_agency,theagencyupgrade,"Use AI to grow your agency - Zero to Six Figures, with NO Employees",26,B2B,web design,,,,,null,zero to six figures,AI-powered tools,Marblism,not specified,not specified,solo,Utilizing AI as a team to scale an agency without hiring employees.,Unlock an AI-powered 'team' to help you build and scale your web design agency.,https://www.youtube.com/watch?v=ru_vjfMxNXk
8,general_ai_agency,Danny Menake,How to land your first $5K AI Agency Client Without Paid Ads,3763,B2B,AI services,,,,,project_based,$5K per client,consulting and strategy sessions,,"organic methods, networking, and leveraging existing connections",,solo,Focus on building relationships and offering value to potential clients without relying on paid advertising.,You don't need paid ads to land high-ticket clients; it's about the value you provide and the relationships you build.,https://www.youtube.com/watch?v=s-GelhvJZSQ
8,general_ai_agency,Michele Torti,STOP Building AI Agents! Master These 10 Lessons to Start your AI Agency,4976,Both,AI industry,,,,,consulting,,online resources and consulting,,through online resources and consulting offers,,solo,Focus on strategic insights and scaling rather than just building AI agents.,STOP Building AI Agents! Master These 10 Lessons to Start your AI Agency,https://www.youtube.com/watch?v=s167YxDIAGw
8,general_ai_agency,Dan Martell,These 4 AI Automations Will Make You $1M (With Zero Employees),182367,B2B,AI software companies,,,,,null,Potential to make $1M with zero employees,Online resources and guidance,AI automations,Through online resources and playbooks,,solo,AI automations can significantly reduce the need for a large workforce while still generating substantial revenue.,These 4 AI Automations Will Make You $1M (With Zero Employees),https://www.youtube.com/watch?v=sDZmLFZ8BkM
8,general_ai_agency,Daniel Fazio Highlights,You NEED To Promise Results To Make Money | Daniel Fazio AI Assisted Agency,217,B2B,marketing agencies,,,,,setup_plus_retainer,income claims,online training and resources,,focus on promising results to attract clients,,small team,Promising results is crucial for client acquisition and retention.,You NEED To Promise Results To Make Money.,https://www.youtube.com/watch?v=sIRNNKUQoeM
8,general_ai_agency,Dan Martell,These 5 AI Agents Will Make You $1M With Zero Employees,793307,Both,"entrepreneurs, startups, tech companies",,,,,null,potential to make $1M with zero employees,"online platforms, AI tools",AI agents,leveraging AI tools and platforms,,solo,AI agents can significantly reduce the need for a large team while increasing revenue potential.,These 5 AI Agents Will Make You $1M With Zero Employees,https://www.youtube.com/watch?v=sIugzOQz7Vk
8,general_ai_agency,Daniel Fazio,Don't start an AI Automation Agency,3739,B2B,local businesses,3000,5000,,,setup_plus_retainer,"$3,000 to $5,000 per month",consulting and implementation,"Zapier, make.com",cold outreach to local businesses,,small team,"AI automation offers are often too vague, making it difficult to sell to businesses.",95% of people who start an AI automation agency are going to fail within the first 90 days.,https://www.youtube.com/watch?v=t7_80JpBR00
8,voice_agent,Sam Knight | AI Simplified,"The $8,500/Month AI Voice Agent Nobody's Building Yet (n8n Tutorial)",92,B2B,general businesses,,,8500,,subscription,,custom-built solutions,n8n,business audits and custom solution proposals,,small team,Custom AI solutions can significantly enhance business efficiency and profitability.,,https://www.youtube.com/watch?v=tCZnn3HTOrQ
8,workflow_automation,Nate Herk | AI Automation,From Zero to Your First Agentic AI Workflow in 26 Minutes (Claude Code),210559,Both,general,,,,,null,,online tutorial,"Claude Code, Firecrawl",YouTube channel and discount links,26 minutes,solo,Quickly setting up an AI workflow using Claude Code can be done in under half an hour.,From Zero to Your First Agentic AI Workflow in 26 Minutes.,https://www.youtube.com/watch?v=tDGiWn0flK8
8,general_ai_agency,Jordan Platten,The #1 AI Agency I Would Start in 2026,12671,B2B,various industries,,,,,null,,consulting and implementation,AI technologies,through strategic marketing and networking,,small team,"AI will be integral to business operations, and agencies can capitalize on this by offering tailored AI solutions.",AI is going to be the backbone of business innovation in the coming years.,https://www.youtube.com/watch?v=tHmxhE0ETQw
8,white_label,Chat Dash,How to Whitelabel and Sell AI Agents in 2025,2882,B2B,AI agencies,,,,,subscription,,online platform,ChatDash,through online resources and platforms,,small team,White-labeling allows agencies to offer AI solutions without developing them from scratch.,Start ChatDash For Free: https://chat-dash.com?fpr=habeen78,https://www.youtube.com/watch?v=tJLxM-4G1Bs
8,content_creation,Charlie Barber,How To Start AI Content Agency To Make $10k/month (FREE Course),4798,B2B,"content creators, marketers, businesses needing content",,,,,subscription,$10k/month,online course,systemkit.io,client acquisition strategies are included in the course,,solo,Utilizing AI tools and templates can streamline content creation and client acquisition.,Access New FREE AI Training For (Download AI templates & Client Acquisition),https://www.youtube.com/watch?v=tK6_YypqOCI
8,consulting,Automate AI Consulting,$10k/Month in 90 Days With AI Consulting,3290,B2B,AI builders and freelancers,,,,,setup_plus_retainer,$10k/month in 90 days,consulting sessions,,free session booking through a landing page,,solo,Focus on landing clients quickly to scale income.,,https://www.youtube.com/watch?v=t_FUcOE4stk
